X,Y,Z
2500.0,2500.0,0.0
2500.0,2500.0,4.955201893864418
2500.0,2500.0,9.821610323583007
2504.9841190421066,2500.398192634423,14.600418622865051
2509.968238084213,2500.7963852688463,19.292805869662462
2514.95235712632,2501.1945779032694,23.8999370458275
2519.9364761684265,2501.5927705376926,28.422963195053953
2524.920595210533,2501.9909631721157,32.86302157911966
2529.9047142526397,2502.389155806539,37.22123583244823
2534.8888332947463,2502.787348440962,41.49871611500736
2539.872952336853,2503.185541075385,45.69655926356141
2544.8570713789595,2503.5837337098083,49.815848941295165
2549.841190421066,2503.9819263442314,53.8576557858261
2554.8253094631727,2504.3801189786545,57.82303755562173
2559.8094285052794,2504.7783116130777,61.713039274839126
2564.793547547386,2505.176504247501,65.52869337660258
2569.7776665894926,2505.574696881924,69.2710198447364
2574.761785631599,2505.972889516347,72.94102635396848
2579.745904673706,2506.3710821507702,76.53970840862097
2584.7300237158124,2506.7692747851934,80.06804947980389
2589.714142757919,2507.1674674196165,83.5270211411272
2594.6982618000256,2507.5656600540397,86.91758320294704
2599.6823808421323,2507.963852688463,90.24068384516143
2604.666499884239,2508.362045322886,93.49725974857067
2609.6506189263455,2508.760237957309,96.68823622481756
2614.634737968452,2509.158430591732,99.81452734492213
2619.6188570105587,2509.5566232261554,102.8770360664259
2624.6029760526653,2509.9548158605785,105.87665435916011
2629.587095094772,2510.3530084950016,108.81426332965245
2634.5712141368786,2510.7512011294248,111.69073334418648
2639.555333178985,2511.149393763848,114.50692415052798
2644.539452221092,2511.547586398271,117.26368499833234
2649.5235712631984,2511.945779032694,119.9618547582466
2654.507690305305,2512.3439716671173,122.60226203972007
2659.4918093474116,2512.7421643015405,125.18572530753701
2664.4759283895182,2513.1403569359636,127.71305299708494
2669.460047431625,2513.5385495703867,130.18504362837163
2674.4441664737315,2513.93674220481,132.60248591880432
2679.428285515838,2514.334934839233,134.96615889474367
2684.4124045579447,2514.733127473656,137.2768320018461
2689.3965236000513,2515.1313201080793,139.53526521420622
2694.380642642158,2515.5295127425024,141.74220914231324
2699.3647616842645,2515.9277053769256,143.89840513983276
2704.348880726371,2516.3258980113487,146.0045854092269
2709.3329997684777,2516.724090645772,148.06147310622504
2714.3171188105844,2517.122283280195,150.06978244315675
2719.301237852691,2517.520475914618,152.03021879115988
2724.2853568947976,2517.9186685490413,153.94347878127445
2729.269475936904,2518.3168611834644,155.81025040443538
2734.253594979011,2518.7150538178876,157.63121311037426
2739.2377140211174,2519.1132464523107,159.40703790544333
2744.221833063224,2519.511439086734,161.13838744937146
2749.2059521053307,2519.909631721157,162.82591615096453
