X,Y,Z
2500.0,2500.0,0.0
2500.0,2500.0,4.955201893864418
2500.0,2500.0,9.821610323583007
2497.1965701024183,2495.859857392632,14.600418622865051
2494.3931402048365,2491.719714785264,19.292805869662462
2491.589710307255,2487.579572177896,23.8999370458275
2488.786280409673,2483.439429570528,28.422963195053953
2485.9828505120913,2479.29928696316,32.86302157911966
2483.1794206145096,2475.159144355792,37.22123583244823
2480.375990716928,2471.0190017484238,41.49871611500736
2477.572560819346,2466.8788591410557,45.69655926356141
2474.7691309217644,2462.7387165336877,49.815848941295165
2471.9657010241826,2458.5985739263197,53.8576557858261
2469.162271126601,2454.4584313189516,57.82303755562173
2466.358841229019,2450.3182887115836,61.713039274839126
2463.5554113314374,2446.1781461042156,65.52869337660258
2460.7519814338557,2442.0380034968475,69.2710198447364
2457.948551536274,2437.8978608894795,72.94102635396848
2455.145121638692,2433.7577182821115,76.53970840862097
2452.3416917411105,2429.6175756747434,80.06804947980389
2449.5382618435287,2425.4774330673754,83.5270211411272
2446.734831945947,2421.3372904600074,86.91758320294704
2443.9314020483653,2417.1971478526393,90.24068384516143
2441.1279721507835,2413.0570052452713,93.49725974857067
2438.324542253202,2408.9168626379033,96.68823622481756
2435.52111235562,2404.776720030535,99.81452734492213
2432.7176824580383,2400.636577423167,102.8770360664259
2429.9142525604566,2396.496434815799,105.87665435916011
2427.110822662875,2392.356292208431,108.81426332965245
2424.307392765293,2388.216149601063,111.69073334418648
2421.5039628677114,2384.076006993695,114.50692415052798
2418.7005329701296,2379.935864386327,117.26368499833234
2415.897103072548,2375.795721778959,119.9618547582466
2413.093673174966,2371.655579171591,122.60226203972007
2410.2902432773844,2367.515436564223,125.18572530753701
2407.4868133798027,2363.375293956855,127.71305299708494
2404.683383482221,2359.235151349487,130.18504362837163
2401.879953584639,2355.095008742119,132.60248591880432
2399.0765236870575,2350.954866134751,134.96615889474367
2396.2730937894758,2346.8147235273827,137.2768320018461
2393.469663891894,2342.6745809200147,139.53526521420622
2390.6662339943123,2338.5344383126467,141.74220914231324
2387.8628040967305,2334.3942957052786,143.89840513983276
2385.059374199149,2330.2541530979106,146.0045854092269
2382.255944301567,2326.1140104905426,148.06147310622504
2379.4525144039853,2321.9738678831745,150.06978244315675
2376.6490845064036,2317.8337252758065,152.03021879115988
2373.845654608822,2313.6935826684385,153.94347878127445
2371.04222471124,2309.5534400610704,155.81025040443538
2368.2387948136584,2305.4132974537024,157.63121311037426
2365.4353649160767,2301.2731548463344,159.40703790544333
2362.631935018495,2297.1330122389663,161.13838744937146
2359.828505120913,2292.9928696315983,162.82591615096453
